,Year,Week,Date,value,catcorr,Bay
336,2016,11,2016-07-28,77,1.086431913,Shinnecock
337,2016,11,2016-07-28,56,1.397281537,Shinnecock
338,2016,11,2016-07-28,60,1.312908509,Shinnecock
339,2016,12,2016-08-04,76,1.094015457,Shinnecock
340,2016,12,2016-08-04,57,1.375371023,Shinnecock
341,2016,12,2016-08-04,82,1.056242824,Shinnecock
342,2016,12,2016-08-04,60,1.312908509,Shinnecock
343,2016,14,2016-08-18,55,1.419611821,Shinnecock
344,2016,14,2016-08-18,87,1.036180632,Shinnecock
345,2016,14,2016-08-18,72,1.130583272,Shinnecock
346,2016,2,2016-05-26,33,1.846741152,Shinnecock
347,2016,3,2016-06-01,37,1.792410193,Shinnecock
348,2016,3,2016-06-01,38,1.776793505,Shinnecock
349,2016,4,2016-06-10,45,1.645659032,Shinnecock
350,2016,4,2016-06-10,47,1.60231878,Shinnecock
351,2016,4,2016-06-10,40,1.743111015,Shinnecock
352,2016,5,2016-06-17,28,1.897656828,Shinnecock
353,2016,5,2016-06-17,33,1.846741152,Shinnecock
354,2016,5,2016-06-17,32,1.858356313,Shinnecock
355,2016,5,2016-06-17,36,1.807205438,Shinnecock
356,2016,5,2016-06-17,29,1.888847084,Shinnecock
357,2016,6,2016-06-24,33,1.846741152,Shinnecock
358,2016,6,2016-06-24,60,1.312908509,Shinnecock
359,2016,6,2016-06-24,60,1.312908509,Shinnecock
360,2016,6,2016-06-24,45,1.645659032,Shinnecock
361,2016,6,2016-06-24,54,1.44227622,Shinnecock
362,2016,6,2016-06-24,53,1.465183611,Shinnecock
363,2016,7,2016-07-01,45,1.645659032,Shinnecock
364,2016,7,2016-07-01,78,1.079406463,Shinnecock
365,2016,8,2016-07-08,36,1.807205438,Shinnecock
366,2016,8,2016-07-08,43,1.686732572,Shinnecock
367,2016,9,2016-07-13,59,1.333117473,Shinnecock
368,2016,9,2016-07-13,60,1.312908509,Shinnecock
369,2016,9,2016-07-13,45,1.645659032,Shinnecock
370,2016,9,2016-07-13,58,1.353959245,Shinnecock
371,2016,9,2016-07-13,76,1.094015457,Shinnecock
372,2016,9,2016-07-13,46,1.624237594,Shinnecock
373,2016,10,2016-07-21,52,1.48823882,Shinnecock
374,2016,11,2016-07-28,58,1.353959245,Shinnecock
375,2016,11,2016-07-28,58,1.353959245,Shinnecock
376,2016,11,2016-07-28,71,1.141440903,Shinnecock
377,2016,12,2016-08-04,115,1.002813128,Shinnecock
378,2016,12,2016-08-04,50,1.534401164,Shinnecock
379,2016,12,2016-08-04,31,1.869227139,Shinnecock
380,2016,12,2016-08-04,50,1.534401164,Shinnecock
