index,Location,,J42,WF22,PAM27,PAM79,WF16,WF33,WF3,WF517,WF196,WF223,WF421,A441,PAM21,Psy087,Psy022,WF12,WF32
167,Mt16,1,127131,239247,166180,170186,236264,312340,168172,267299,167183,257269,284304,182184,215217,156161,243243,256260,0
168,Mt16,1,117127,215235,180180,170214,240252,296324,162166,275287,159243,255267,236292,178190,217219,156161,243243,256260,0
169,Mt16,4,111117,251255,174174,182188,236240,0,168168,243255,167171,0,0,182196,211217,156161,235243,260260,0
170,Mt16,0,125143,231247,160206,178214,238260,340364,168172,255283,167183,265275,272320,186196,193217,156161,235235,256260,181283
171,Mt16,1,117137,171267,174174,154180,240264,344344,168198,273283,167251,255293,236288,182184,217217,156161,0,260264,249251
172,Mt16,2,115119,227239,174176,168180,236238,272284,168168,0,183187,263277,300316,182186,0,156161,243243,260260,283285
173,Mt16,1,117131,251271,160174,144198,236238,304316,158168,261291,199199,261281,0,194196,215215,161161,227243,260260,207215
174,Mt16,0,117121,231243,166174,182216,236250,288300,166168,239281,191191,261265,280292,184190,217221,161161,235243,260260,215291
175,Mt16,0,139148,155259,178202,202240,236236,284296,168174,247255,163223,267281,276292,186190,209227,155161,235243,256260,217251
176,Mt16,3,121143,183195,174174,0,236260,268320,168176,0,187195,255269,0,180188,213219,155161,235243,260264,221221
177,Mt16,5,109117,183255,0,170186,236250,276320,162168,287295,0,261269,252292,182194,0,161161,0,0,215221
178,Mt16,0,109123,211243,160188,178180,236238,268336,168168,279283,191211,263281,236288,182190,211211,155161,235243,260260,211283
179,Mt16,3,117177,211211,178182,0,230238,280340,168174,263287,167167,261269,0,188188,0,155161,243243,260264,217283
180,Mt16,1,117125,239247,160174,206222,252254,268316,168168,215243,175191,267271,276288,0,211219,161163,235267,256256,217217
181,Mt16,2,117131,179195,174174,148180,250260,276348,168168,247295,171187,0,0,182196,215215,161161,235243,256260,221283
182,Mt16,2,117147,235243,160166,182184,234238,320328,158168,265283,183243,267275,0,184194,211219,161161,235243,260260,0
183,Mt16,3,117117,191259,174188,188208,234240,340352,158168,259259,167187,0,0,0,209217,161161,243243,256264,221283
184,Mt16,7,111137,195243,0,0,236240,316324,172176,215261,0,269275,0,0,0,0,243243,256256,215215
185,Mt16,4,117121,191263,0,190190,236236,320320,166168,247261,0,263267,292292,184188,0,161161,243243,0,217217
186,Mt16,3,111121,175215,0,166192,236238,300328,168170,215277,171191,255277,276300,186226,211215,155161,0,0,215221
187,Mt16,0,117161,235263,174180,178216,236238,340348,170174,291291,187243,259269,292332,182182,213217,161161,243243,256256,217217
188,Mt16,1,117121,251315,160164,182208,236238,300324,168168,263299,191211,269277,292296,188188,213217,155161,243243,260268,0
189,Mt16,0,119133,207223,174176,180182,238258,264340,168172,271299,167199,267269,280292,188188,213219,161161,235235,260264,217217
190,Mt16,3,115119,227259,160212,186186,236260,276356,166168,263265,175183,0,0,182188,217217,156161,243243,260260,0
191,Mt16,0,111125,247295,180182,150188,238238,316328,168176,251281,159223,255263,284316,186188,215225,161163,227235,256264,215215
192,Mt16,0,117147,251259,174178,190216,238258,252332,158162,303317,183227,255279,280296,180188,211211,161163,235335,260264,217217
193,Mt16,0,115133,179227,160176,188194,238250,300312,162162,261291,179187,261273,272292,186192,211211,157161,235243,256260,217217
194,Mt16,1,121125,183223,176178,154208,236238,304348,168174,287291,183203,255275,0,180182,219219,156161,243243,256260,215217
195,Mt16,0,117119,251267,178188,172184,234238,316328,168174,235275,187187,259259,288304,178186,213217,161161,243243,260264,211217
196,Mt16,4,117121,191283,0,158198,238238,288320,162168,243303,0,261277,264288,180188,0,156161,243243,0,181217
197,Mt16,2,129137,227239,160180,178182,230236,268328,168176,243247,167203,267285,0,182188,215219,161161,0,260260,213215
198,Mt16,0,125139,171259,160174,168190,236240,248320,168172,235275,167191,277289,284292,180190,211217,156161,243243,256260,177217
199,Mt16,1,117117,207239,160204,180218,250260,296328,168168,247279,167199,257275,0,180200,217219,156161,235243,256260,215215
200,Mt16,1,117125,215235,178178,170216,236238,332340,162174,243303,195195,267281,244296,178184,215217,161165,0,256260,213213
201,Mt16,1,109143,159231,174174,182220,0,320360,168168,245287,187195,255269,272276,180182,213219,161161,235243,260264,217221
202,Mt16,1,109111,187235,0,188212,234246,320320,168172,215247,167179,263277,288292,184186,213219,156161,243247,256264,215215
203,Mt16,0,119121,247263,160178,158220,236238,248308,156166,287287,167187,257279,292296,182190,211225,156161,235243,256260,215215
204,Mt16,1,117137,175239,160174,158172,226238,268332,166172,265287,183187,255279,0,180182,211215,156161,243243,256256,213289
205,Mt16,0,117137,199243,160208,144180,236250,260272,156170,247255,167167,255269,280296,186190,211219,161161,235243,260260,177251
206,Mt16,12,0,0,0,0,234238,0,0,0,0,0,0,0,213213,161161,243335,0,291291
207,Mt16,0,139143,183183,174178,206212,236236,248360,162174,271283,171195,257269,280296,188192,215217,163165,235243,260260,221221
208,Mt16,1,111117,191231,160180,156170,236258,0,158168,243283,191199,263269,292312,180188,219219,156161,235243,260264,215215
209,pop,0,,,,,,,,,,,,,,,,,
210,MtMig,0,111121,183223,174210,148184,224238,268296,156170,245299,159195,259269,280304,184188,211213,156161,243267,260264,249249
211,MtMig,2,115117,235239,160174,188212,236250,0,168174,257317,159187,261285,284296,182186,213217,156161,0,256260,217217
212,MtMig,3,119139,183191,174190,154210,238258,0,0,245271,159187,275275,276296,176188,217217,156161,0,260264,215217
213,MtMig,1,117117,227247,174180,178194,236268,280316,168172,219263,187195,273279,0,178188,217225,161161,243243,264264,217221
214,MtMig,0,125125,255259,178182,150168,236260,252320,172178,247283,167171,277281,256288,184188,215217,156161,235243,256260,217251
215,MtMig,0,121125,223227,174188,190208,238240,252328,166178,291291,159191,261281,292304,182188,211219,156161,243243,256264,213213
216,MtMig,0,111117,211271,160174,156182,238258,312328,164174,261287,163191,259283,280300,188188,211217,156161,235243,256256,221221
217,MtMig,0,125135,215243,160182,158192,246266,272344,166168,245271,195207,261317,280292,180186,219219,161161,227235,256260,213221
218,MtMig,1,117117,223243,160178,158208,234286,284332,168168,243279,159183,273277,268280,0,215219,161163,243319,264264,213255
219,MtMig,1,109111,207207,174178,166216,238238,304332,0,255263,191195,259271,252280,178190,211217,161161,235243,256260,213251
220,MtMig,1,117137,207207,166174,182182,240244,320344,0,245263,159179,259275,280304,180186,211219,156161,235243,256260,217217
221,MtMig,1,117117,183227,160178,182198,240250,252356,0,215283,243243,273281,252288,184186,211219,156161,235243,268272,215251
222,MtMig,1,117135,235239,166166,178220,236258,324332,168186,275317,163171,265267,268280,190196,211221,156161,235235,0,213221
223,MtMig,1,117117,203247,160182,156212,240258,280320,156170,247249,179203,275283,284296,186188,213217,161161,251259,0,213217
224,MtMig,4,137139,183191,176178,182222,234236,296360,0,245249,183199,289289,280292,188188,0,161161,235243,0,0
225,MtMig,1,117119,179203,176188,168182,250260,264320,168170,271271,159183,277281,0,182184,211219,157161,235235,256256,215215
226,MtMig,2,137143,243247,0,182210,236260,300332,172174,0,187251,269283,280308,180182,211215,156161,235243,260260,217221
227,MtMig,1,117117,183239,160174,182182,236286,280316,168168,279287,167167,275277,272312,0,215217,161161,235243,260260,211217
228,MtMig,0,133133,243255,160174,176182,236238,276324,168168,243245,167235,251255,260304,180188,219225,156161,243243,256260,215289
229,MtMig,2,147157,255259,0,0,236236,300312,166168,219275,199243,263265,280304,178190,217225,156161,235243,260260,221249
230,MtMig,1,119133,195207,0,156168,236236,332336,168172,235243,187187,261261,268288,180184,217217,157161,235243,260264,221283
231,MtMig,0,121125,187187,174188,176220,230258,272296,170174,279281,187195,261273,284288,180188,217219,161161,235235,260260,179217
232,MtMig,0,109117,183195,160180,150150,238238,304332,168168,261291,191195,255257,284288,180182,211217,155161,243243,260260,215249
233,MtMig,0,117119,223271,174178,174184,240258,340340,162164,247247,191235,269297,280280,180184,211215,161161,235243,256260,221221
234,MtMig,0,129139,195247,176178,148158,236236,280328,168172,247291,183199,261273,276280,180182,217219,156161,243243,260264,217217
235,MtMig,1,111119,219243,160174,166188,250260,316328,168168,221255,179183,267281,0,158186,211213,161161,243243,260264,217217
236,MtMig,0,119125,251267,174188,210220,234236,284292,166168,251263,167191,253285,280296,190196,219229,156161,227235,256264,215291
237,MtMig,2,117133,191247,174188,184218,236238,328352,0,245257,203247,259269,0,182190,211219,156161,173235,256260,213215
238,MtMig,1,109117,223267,174174,156208,234236,300312,0,261283,167215,273279,280292,190190,217219,156161,235243,256260,221221
239,MtMig,1,119125,183239,160160,190212,236236,296296,0,243245,163183,253261,268272,182188,211215,161161,235243,256260,221221
240,MtMig,2,121139,187211,178178,148214,236240,320344,0,219267,167187,255273,0,176180,211215,161161,243243,260260,215283
241,MtMig,1,117121,215223,160182,166168,236238,332340,156168,251287,215235,261265,0,182186,217217,161163,227243,260264,215217
242,MtMig,0,119135,183255,166174,156210,234238,320328,168172,219263,159183,259263,272296,180182,219219,156161,243243,260260,221221
243,MtMig,1,117139,243251,160174,186190,238260,352360,168172,267291,183199,257263,292296,0,211211,156161,235243,260260,215215
