"","iter","comparisons","p.vals"
"269","39","Ht and GRP and LOCUS","0.0540230509075708"
"270","39","Fis and GRP and LOCUS","0.808792135410999"
"271","39","SHANNON_IDX and GRP and LOCUS","0.0136973049162421"
"272","39","value and variable and LOCUS","0.0492968977018185"
"273","39","hobs and Bay and locus","0.336659875125563"
"274","40","Hs and GRP and LOCUS","0.0497472474179436"
"275","40","EVENNESS and GRP and LOCUS","0.0321151783444109"
"276","40","Ht and GRP and LOCUS","0.0497472474179436"
"277","40","Fis and GRP and LOCUS","0.214590558219988"
"278","40","SHANNON_IDX and GRP and LOCUS","0.0430316532079032"
"279","40","value and variable and LOCUS","0.0492968977018185"
"280","40","hobs and Bay and locus","0.336659875125563"
"281","41","Hs and GRP and LOCUS","0.0562902801699481"
"282","41","EVENNESS and GRP and LOCUS","0.433748995745642"
"283","41","Ht and GRP and LOCUS","0.0562902801699481"
"284","41","Fis and GRP and LOCUS","0.485521566081148"
"285","41","SHANNON_IDX and GRP and LOCUS","0.0636481899886552"
"286","41","value and variable and LOCUS","0.0492968977018185"
"287","41","hobs and Bay and locus","0.336659875125563"
"288","42","Hs and GRP and LOCUS","0.0457960086629708"
"289","42","EVENNESS and GRP and LOCUS","0.253232594350385"
"290","42","Ht and GRP and LOCUS","0.0457960086629708"
"291","42","Fis and GRP and LOCUS","0.763322981719361"
"292","42","SHANNON_IDX and GRP and LOCUS","0.111709292816043"
"293","42","value and variable and LOCUS","0.0492968977018185"
"294","42","hobs and Bay and locus","0.336659875125563"
"295","43","Hs and GRP and LOCUS","0.0623614661317107"
"296","43","EVENNESS and GRP and LOCUS","0.191803643784121"
"297","43","Ht and GRP and LOCUS","0.0623614661317107"
"298","43","Fis and GRP and LOCUS","0.128170572917065"
"299","43","SHANNON_IDX and GRP and LOCUS","0.0379753501207435"
"300","43","value and variable and LOCUS","0.0492968977018185"
"301","43","hobs and Bay and locus","0.336659875125563"
"302","44","Hs and GRP and LOCUS","0.0929659335528445"
"303","44","EVENNESS and GRP and LOCUS","0.455439844666619"
"304","44","Ht and GRP and LOCUS","0.0929659335528445"
"305","44","Fis and GRP and LOCUS","0.28220555257319"
"306","44","SHANNON_IDX and GRP and LOCUS","0.0404276819945128"
"307","44","value and variable and LOCUS","0.0492968977018185"
"308","44","hobs and Bay and locus","0.336659875125563"
"309","45","Hs and GRP and LOCUS","0.0498119031855496"
"310","45","EVENNESS and GRP and LOCUS","0.485521566081148"
"311","45","Ht and GRP and LOCUS","0.0498119031855496"
"312","45","Fis and GRP and LOCUS","0.244159605124641"
"313","45","SHANNON_IDX and GRP and LOCUS","0.0598617972613097"
