"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"81","Mor_6","A441",8,0.887836458333925,0.4643,0.7573,0.7573,0.3869,1.93344003320717,0.84,6.25
"82","Mor_6","J42",14,0.550247834047364,0.8214,0.8082,0.8082,-0.0164,2.08006704719108,0.794005102040816,4.85448916408669
"83","Mor_6","PAM21",6,0.834176657916588,0.4643,0.8062,0.8062,0.4241,1.56349650040579,0.759002770083103,4.14942528735632
"84","Mor_6","PAM27",10,0.720706218396844,0.6429,0.8307,0.8307,0.2261,1.74280697703317,0.772569444444444,4.3969465648855
"85","Mor_6","PAM79",25,0.77728708282374,0.9643,0.9491,0.9491,-0.016,2.93089229008101,0.932397959183674,14.7924528301887
"86","Mor_6","PSY022",7,0.703109802458539,0.75,0.6931,0.6931,-0.0821,1.32177467153296,0.659122085048011,2.93360160965795
"87","Mor_6","PSY087",4,0.641115225610304,0.6786,0.5251,0.5251,-0.2922,0.985669892441813,0.518494897959184,2.07682119205298
"88","Mor_6","WF12",3,0.814459091017369,0.5,0.5761,0.5761,0.132,0.952020023966695,0.564413265306122,2.29575402635432
"89","Mor_6","WF16",13,0.696576853131508,0.8571,0.8519,0.8519,-0.0062,2.12314831196287,0.836734693877551,6.125
"90","Mor_6","WF196",17,0.721489030388854,0.9643,0.9008,0.9008,-0.0705,2.4642977848048,0.885841836734694,8.75977653631285
"91","Mor_6","WF22",27,0.885369045091789,1,0.9696,0.9696,-0.0314,3.16981726285914,0.95280612244898,21.1891891891892
"92","Mor_6","WF223",16,0.855714161354047,0.75,0.9266,0.9266,0.1906,2.54242774747048,0.909262759924386,11.0208333333333
"93","Mor_6","WF3",10,0.573424323629842,0.7857,0.7381,0.7381,-0.0645,1.72549077496077,0.725765306122449,3.64651162790698
"94","Mor_6","WF33",24,0.773010976217638,0.9643,0.9484,0.9484,-0.0167,2.92657849422723,0.931760204081633,14.6542056074766
"95","Mor_6","WF421",13,0.838539600413758,0.8214,0.9107,0.9107,0.098,2.29344812092345,0.881944444444444,8.47058823529412
"96","Mor_6","WF517",21,0.813182461402049,0.6786,0.9491,0.9491,0.285,2.83594837550662,0.928819444444444,14.0487804878049
"97","Mt","A441",10.9,0.814493297228658,0.783335,0.882836,0.882836,0.112643,2.08536553072858,0.850483386571653,6.78177824630097
"98","Mt","J42",16.96,0.652780067925202,0.868003,0.881418,0.881418,0.015054,2.4159862604444,0.866505555555556,7.75867676271858
"99","Mt","PAM21",7.8,0.838649539993898,0.672332,0.834363,0.834363,0.194292,1.71674173219593,0.791756770869701,4.8437571277219
"100","Mt","PAM27",11.65,0.734076629659462,0.731667,0.858477,0.858477,0.147427,2.00486673142371,0.823434372253071,5.75644396859278
"101","Mt","PAM79",26.03,0.806769990692395,0.882,0.959803,0.959803,0.081236,3.05121411587791,0.941306578623714,17.3944136231352
"102","Mt","PSY022",5.27,0.738849953250816,0.529,0.669257,0.669257,0.207078,1.00365572211738,0.556630470530315,2.28221263143493
