wfgenepop_20_Sept2020,,,,,,,,,,,,,,,,,,,,
J42,,"WF22,","PAM27,","PAM79,","WF27,","WF16,","WF33,","WF3,","WF517,","WF196,","WF223,","WF421,","A441,","PAM21,","Psy087,","Psy022,","WF06,","WF12,","WF01,",WF32
"S101,",117145,243247,174178,198224,357381,238238,364388,168172,243259,171191,255275,288316,178196,213219,161163,0,260264,260264,262262,0
"S11,",117143,227227,0,0,3050,238286,312320,162174,217271,167199,255261,292312,182186,211217,161161,0,248264,256260,254258,211215
"S12,",111117,183223,160176,176176,0,236238,312348,168170,263279,199211,243275,268276,0,0,161163,0,256256,256260,262270,221221
"S13,",125125,231239,174176,174200,0,236252,324328,158168,247279,167167,253257,284288,184190,0,161161,235243,256256,260264,254270,215251
"S14,",125133,179183,166166,154198,0,236256,316352,166168,259289,171191,269277,288300,180186,211211,156161,0,256260,256260,250266,251251
"S15,",111123,183227,176178,188188,253357,236238,260364,0,251255,159183,269285,268288,180196,0,161161,235243,256260,260260,254254,217217
"S19,",119141,259299,170174,182182,293333,240240,300340,0,247279,183251,257285,276308,186188,209217,156161,0,260260,260260,262262,221221
"S20,",117139,231267,174178,172182,273313,234260,280320,164168,0,159199,277289,264292,180188,215225,161161,243243,256260,256264,242274,0
"S21,",117143,243255,0,158194,325341,236286,332348,168176,247275,167211,261275,0,184188,0,161163,243243,244248,260260,238250,221221
"S22,",125139,203259,160174,180222,313349,236240,320356,172174,263263,167191,241267,272308,182188,213219,161161,0,256256,260260,270270,211291
"S25,",117117,247251,174174,180186,289289,238238,296296,166168,263263,159203,255265,288296,186196,215215,161161,0,0,256260,0,251251
"S26,",117121,235255,160174,144144,305317,236238,312324,170174,217251,187223,259269,280308,180188,211211,161163,0,256256,260260,274298,217221
"S27,",111111,231251,174176,160194,261321,238250,268328,168168,275279,167171,255285,280288,0,207217,161161,0,248256,256256,0,213215
"S28,",119139,227231,176188,172196,301309,252260,308316,168178,247283,163195,245253,288300,178182,0,161163,235243,260264,0,266266,211215
"S29,",117121,179263,0,204222,345345,238238,0,164174,255259,167183,269281,292308,184186,217219,0,235243,248248,256256,0,221257
"S30,",117131,251259,160166,0,0,238240,312328,168168,275287,195199,281299,324328,184184,0,161163,243267,256268,256264,278298,217285
"S31,",117131,251259,178182,0,305321,240258,312328,168168,271283,0,285289,0,180180,0,161163,243267,0,256264,278298,217285
"S34,",0,0,160178,0,309313,236238,0,0,0,0,0,0,190190,0,161163,0,0,0,246286,0
"S36,",111117,166219,174182,174220,277313,236236,284320,162174,217247,211243,269273,292328,190190,0,156161,0,0,264264,270274,215215
"S38,",117121,183199,174174,182204,245325,240256,252332,168168,259289,211211,0,272292,196196,0,156161,227235,264264,256264,262302,217217
"S39,",117133,267271,0,168168,305321,238246,312328,162170,263267,0,259269,288304,188188,0,156161,0,0,0,246246,217221
"S4,",123137,195263,176182,180192,249313,240250,256320,168176,271289,0,269275,304312,188190,211215,161161,251259,248256,264264,254254,215215
"S40,",117135,183271,160162,0,289325,236240,296332,162168,283313,167187,255269,288292,184188,0,161161,0,260260,256260,254254,217217
"S41,",117139,243259,0,156160,329329,236258,0,168174,267305,191199,255263,296296,180180,0,156161,0,0,256260,258266,215257
"S42,",115133,183191,0,186208,305321,234236,312328,162172,283301,159167,269277,280280,182226,217217,161161,235243,248248,256264,270270,213217
"S44,",117135,183255,174188,182220,321329,236238,328336,162166,279305,167183,257263,0,182188,0,161161,0,0,256256,0,215215
"S45,",117125,219223,160164,188222,297321,236238,300328,168176,247301,159187,257263,288292,182196,211211,161161,0,0,0,238270,215285
"S46,",119145,231247,174176,166166,0,254258,264280,162176,265279,203203,269285,288292,180180,211211,157161,0,256256,260260,278278,211249
"S47,",117133,163183,174182,154182,269305,236236,276312,158168,243271,191195,265269,0,180188,213217,156161,0,256256,260264,254274,217217
"S51,",119139,187187,174174,150156,297349,236286,300356,158168,263275,159195,267269,288300,184188,215219,161161,0,256256,256264,0,215221
"S52,",117147,195223,162174,144182,281321,236240,288328,158168,259279,167187,265329,288292,178196,211215,161163,0,256256,256260,266282,215249
"S53,",117137,183243,0,180212,0,236254,296328,168168,255271,183199,245279,280328,182186,213217,156161,243243,0,256264,0,0
"S55,",109135,183195,160174,182182,305333,236260,312340,156174,247301,179211,275279,276304,182184,211211,161161,0,0,260260,258298,217251
"S58,",117121,179255,160174,182192,305333,238260,312340,156174,0,179211,275279,276304,182186,211217,156161,0,0,260264,258298,217251
"S6,",117125,179183,178180,180186,313329,258262,320336,172172,251267,167187,245277,284304,190192,0,161161,0,256256,260264,0,211253
"S60,",117147,179207,176178,0,245309,238240,0,162168,217251,0,261281,288292,182190,211217,161163,235243,0,256260,254254,219249
"S61,",119125,207283,152164,168170,313325,236240,320332,168174,251263,163195,237257,0,188188,211215,156161,235243,256260,260264,270278,217249
