"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"73","Nap","WF16",14,0.64887808963103,0.8462,0.8369,0.8369,-0.011,2.08800236949585,0.821005917159763,5.58677685950413
"74","Nap","WF33",22,0.849627209791549,0.8846,0.9562,0.9562,0.0748,2.90833938995611,0.936390532544379,15.7209302325581
"75","Nap","WF3",10,0.6139254939592,0.7826,0.7806,0.7806,-0.0025,1.8348959781747,0.763705103969754,4.232
"76","Nap","WF517",19,0.864279001528241,1,0.9466,0.9466,-0.0565,2.76644724429184,0.927951388888889,13.8795180722892
"77","Nap","WF196",15,0.798525374497582,0.9167,0.9094,0.9094,-0.008,2.41567875535548,0.890625,9.14285714285714
"78","Nap","WF223",21,0.846586510496597,0.88,0.9542,0.9542,0.0777,2.86836221251719,0.9336,15.0602409638554
"79","Nap","WF421",17,0.824805632124753,1,0.9284,0.9284,-0.0771,2.59134531301904,0.910590277777778,11.1844660194175
"80","Nap","A441",9,0.862117063146518,1,0.8826,0.8826,-0.133,2.02932302955708,0.850694444444444,6.69767441860465
"81","Nap","PAM21",7,0.761194781377918,0.4667,0.7833,0.7833,0.4043,1.58351052400208,0.746666666666667,3.94736842105263
"82","Nap","PSY087",4,0.721458490238926,0.7692,0.6162,0.6162,-0.2484,1.1452014903107,0.607248520710059,2.54613935969868
"83","Nap","PSY022",7,0.6831546718366,0.75,0.5879,0.5879,-0.2758,1.10296899345968,0.578993055555556,2.37525773195876
"84","Nap","WF12",3,0.845329213966099,0.5833,0.6005,0.6005,0.0287,0.988069879390403,0.587673611111111,2.42526315789474
"85","Nap","WF32",11,0.83161403777436,0.9091,0.9091,0.9091,0,2.18507112611091,0.867768595041322,7.5625
"86","Shin","J42",20,0.534264560111154,0.7692,0.8573,0.8573,0.1027,2.43864736008051,0.848187869822485,6.58708891595615
"87","Shin","WF22",31,0.77842994252723,0.898,0.9566,0.9566,0.0613,3.16232861839023,0.946272386505623,18.6124031007752
"88","Shin","PAM27",15,0.685158252254856,0.84,0.8216,0.8216,-0.0224,1.99748677838837,0.8136,5.36480686695279
"89","Shin","PAM79",32,0.81688672060827,0.9216,0.9622,0.9622,0.0422,3.23685648179508,0.952326028450596,20.9758064516129
"90","Shin","WF16",17,0.615355487172238,0.75,0.823,0.823,0.0887,2.09535493128666,0.814349112426036,5.38645418326693
"91","Shin","WF33",27,0.883843310081173,0.9792,0.9608,0.9608,-0.0191,3.13277647585828,0.950954861111111,20.3893805309735
"92","Shin","WF3",13,0.470205455298627,0.6923,0.7229,0.7229,0.0423,1.84867439144671,0.71560650887574,3.51625487646294
"93","Shin","WF517",28,0.835960047792562,0.8824,0.9565,0.9565,0.0775,3.09592419960333,0.94636678200692,18.6451612903226
"94","Shin","WF196",18,0.767577140055461,0.9375,0.9056,0.9056,-0.0352,2.50819545521377,0.896484375,9.66037735849057
"95","Shin","WF223",23,0.798894390023965,0.9091,0.9376,0.9376,0.0304,2.82221834448437,0.926652892561983,13.6338028169014
"96","Shin","WF421",13,0.810942968534178,0.8684,0.8844,0.8844,0.0181,2.24540882286137,0.872576177285319,7.84782608695652
"97","Shin","A441",12,0.767150277467297,0.8696,0.8502,0.8502,-0.0227,2.06756907579159,0.841209829867675,6.29761904761905
"98","Shin","PAM21",7,0.872088428509369,0.8205,0.7881,0.7881,-0.0411,1.61515476636711,0.778435239973702,4.513353115727
"99","Shin","PSY087",5,0.504291324353068,0.46,0.3939,0.3939,-0.1679,0.820223796338298,0.3906,1.64095831965868
"100","Shin","PSY022",6,0.734490557172814,0.575,0.5753,0.5753,6e-04,1.02640591402623,0.568125,2.31548480463097
